,count,mean,median,std,min,25%,50%,75%,max,skewness,kurtosis
stars_count,972.0,81.52366255144032,12.0,169.9085792099588,0.0,1.0,12.0,65.0,995.0,3.10175980632798,10.077521740599893
forks_count,972.0,53.26543209876543,6.0,128.09338411923218,0.0,1.0,6.0,37.0,973.0,4.155072384350006,20.49851576607908
issues_count,972.0,8.871399176954732,2.0,33.35606558213318,1.0,1.0,2.0,6.0,612.0,12.324510928633886,188.075673702657
pull_requests,972.0,4.397119341563786,0.0,28.57740517333489,0.0,0.0,0.0,2.0,567.0,15.07241051835491,256.1501106061171
contributors,972.0,8.308641975308642,2.0,36.94359838726642,0.0,0.0,2.0,4.0,658.0,10.932031702723597,148.70966477770068
health_score,972.0,60.438976172747765,7.354166666666666,156.65939250001978,-306.0,0.5928571428571429,7.354166666666666,45.29761904761905,1290.0,4.417545497157442,22.882037389026152
activity_ratio,972.0,0.7337167971751445,0.0,9.280073079473459,0.0,0.0,0.0,0.3333333333333333,283.5,29.345994601226852,890.9684494070331
issues_per_contributor,972.0,3.1083315309512938,1.0,12.263270447180597,0.011583011583011582,0.6,1.0,2.0,306.0,17.642175259594374,398.56939044287475
prs_per_contributor,972.0,1.637112474082687,0.0,17.107381945868276,0.0,0.0,0.0,0.5,484.0,24.51015566196923,663.8936680278621
